Países;Grupos de edad;Periodo;Total
Estonia;De 25 a 54 años;2020;9,2
Estonia;De 25 a 54 años;2019;10,9
Estonia;De 25 a 54 años;2018;10,8
Estonia;De 25 a 54 años;2017;9,3
Estonia;De 25 a 54 años;2016;10,7
Estonia;De 25 a 54 años;2015;9,5
Estonia;De 25 a 54 años;2014;9,5
Estonia;De 25 a 54 años;2013;8,6
Estonia;De 20 a 64 años;2023;2,4
Estonia;De 20 a 64 años;2022;2,9
Estonia;De 20 a 64 años;2021;3,7
Estonia;De 20 a 64 años;2020;6
Estonia;De 20 a 64 años;2019;7,7
Estonia;De 20 a 64 años;2018;7,8
Estonia;De 20 a 64 años;2017;7,3
Estonia;De 20 a 64 años;2016;8,2
Estonia;De 20 a 64 años;2015;7,9
Estonia;De 20 a 64 años;2014;7,7
Estonia;De 20 a 64 años;2013;6,6
Estonia;De 55 a 64 años;2023;-3,7
Estonia;De 55 a 64 años;2022;-3,8
Estonia;De 55 a 64 años;2021;-2,8
Estonia;De 55 a 64 años;2020;-6,1
Estonia;De 55 a 64 años;2019;-5,3
Estonia;De 55 a 64 años;2018;-5,6
Estonia;De 55 a 64 años;2017;-2,7
Estonia;De 55 a 64 años;2016;-2,8
Estonia;De 55 a 64 años;2015;-2,6
Estonia;De 55 a 64 años;2014;2
Estonia;De 55 a 64 años;2013;-2,2
Irlanda;De 15 a 64 años;2023;8,3
Irlanda;De 15 a 64 años;2022;9,7
Irlanda;De 15 a 64 años;2021;8,8
Irlanda;De 15 a 64 años;2020;10,8
Irlanda;De 15 a 64 años;2019;10,8
Irlanda;De 15 a 64 años;2018;10,8
Irlanda;De 15 a 64 años;2017;10,6
Irlanda;De 15 a 64 años;2016;10,7
Irlanda;De 15 a 64 años;2015;11
Irlanda;De 15 a 64 años;2014;10,4
Irlanda;De 15 a 64 años;2013;9,2
Irlanda;De 15 a 24 años;2023;-0,6
Irlanda;De 15 a 24 años;2022;0,6
Irlanda;De 15 a 24 años;2021;0,3
Irlanda;De 15 a 24 años;2020;1
Irlanda;De 15 a 24 años;2019;0,4
Irlanda;De 15 a 24 años;2018;1,9
Irlanda;De 15 a 24 años;2017;0,5
Irlanda;De 15 a 24 años;2016;0,5
Irlanda;De 15 a 24 años;2015;1
