Países;Sexo;Periodo;Total
Eslovenia;Mujeres;2017;57,5
Eslovenia;Mujeres;2016;57,6
Eslovenia;Mujeres;2015;58,2
Eslovenia;Mujeres;2014;58,3
República Eslovaca;Hombres;2020;41,5
República Eslovaca;Hombres;2019;41,1
República Eslovaca;Hombres;2018;41
República Eslovaca;Hombres;2017;40,8
República Eslovaca;Hombres;2016;40,8
República Eslovaca;Hombres;2015;40,4
República Eslovaca;Hombres;2014;40,3
República Eslovaca;Mujeres;2020;58,5
República Eslovaca;Mujeres;2019;58,9
República Eslovaca;Mujeres;2018;59
República Eslovaca;Mujeres;2017;59,2
República Eslovaca;Mujeres;2016;59,2
República Eslovaca;Mujeres;2015;59,6
República Eslovaca;Mujeres;2014;59,7
Finlandia;Hombres;2020;46,1
Finlandia;Hombres;2019;46,7
Finlandia;Hombres;2018;46,9
Finlandia;Hombres;2017;46,9
Finlandia;Hombres;2016;46,7
Finlandia;Hombres;2015;46,4
Finlandia;Hombres;2014;46,4
Finlandia;Mujeres;2020;53,9
Finlandia;Mujeres;2019;53,3
Finlandia;Mujeres;2018;53,1
Finlandia;Mujeres;2017;53,1
Finlandia;Mujeres;2016;53,3
Finlandia;Mujeres;2015;53,6
Finlandia;Mujeres;2014;53,6
Suecia;Hombres;2020;39,8
Suecia;Hombres;2019;39,9
Suecia;Hombres;2018;39,9
Suecia;Hombres;2017;40,5
Suecia;Hombres;2016;40,6
Suecia;Hombres;2015;41
Suecia;Hombres;2014;40,6
Suecia;Mujeres;2020;60,2
Suecia;Mujeres;2019;60,1
Suecia;Mujeres;2018;60,1
Suecia;Mujeres;2017;59,5
Suecia;Mujeres;2016;59,4
Suecia;Mujeres;2015;59
Suecia;Mujeres;2014;59,4
Reino Unido;Hombres;2020;..
Reino Unido;Hombres;2019;43,1
Reino Unido;Hombres;2018;43,2
Reino Unido;Hombres;2017;43,3
Reino Unido;Hombres;2016;43,6
Reino Unido;Hombres;2015;43,8
Reino Unido;Hombres;2014;44
Reino Unido;Mujeres;2020;..
Reino Unido;Mujeres;2019;56,9
Reino Unido;Mujeres;2018;56,8
Reino Unido;Mujeres;2017;56,7
Reino Unido;Mujeres;2016;56,4
Reino Unido;Mujeres;2015;56,2
Reino Unido;Mujeres;2014;56
